"network_size","iteration","igraph","network","ggnet2","geomnet","ggnetwork"
225,1,1.20100000000002,4.995,1.00800000000001,2.828,1.489
225,2,1.20400000000001,5.495,1.03900000000002,2.66400000000002,0.787000000000006
225,3,1.19899999999998,5.233,0.99199999999999,2.66899999999998,1.482
225,4,1.15299999999999,3.006,0.98599999999999,2.62200000000001,1.42099999999999
225,5,1.221,3.209,1.01299999999998,2.60000000000002,1.447
225,6,1.19799999999998,5.55699999999999,1,2.70099999999999,1.46299999999997
225,7,1.18900000000002,3.18799999999999,1.00200000000001,2.649,1.45099999999996
225,8,1.21899999999999,5.29199999999997,1.11600000000004,2.59000000000003,1.44499999999999
225,9,1.21099999999996,3.25100000000003,0.984000000000037,2.678,1.46800000000002
225,10,1.238,3.23900000000003,1.012,2.64100000000002,1.49099999999999
