"network_size","iteration","igraph","network","ggnet2","geomnet","ggnetwork"
175,21,1.12300000000005,5.43600000000015,1.49800000000005,3.02200000000039,2.26499999999987
175,22,1.14400000000023,5.50599999999986,1.50500000000011,3.00199999999995,2.23100000000022
175,23,1.13900000000012,6.01099999999997,1.53099999999995,3.1840000000002,2.36500000000024
175,24,1.18299999999999,5.89800000000014,1.46699999999964,3.27799999999979,2.32700000000023
175,25,1.11400000000003,5.56900000000041,1.47000000000025,3.02700000000004,2.33500000000004
175,26,1.13099999999986,4.37899999999991,1.43600000000015,2.98500000000013,2.28499999999985
175,27,1.11999999999989,5.93299999999999,1.50800000000027,3.08800000000019,2.46100000000024
175,28,1.14899999999989,5.91100000000006,1.54199999999992,3.15900000000011,2.38500000000022
175,29,1.11599999999999,5.60699999999997,1.46500000000015,3.01099999999997,2.30999999999995
175,30,1.11299999999983,5.73700000000008,1.47899999999981,3.07600000000002,2.3739999999998
