"network_size","iteration","igraph","network","ggnet2","geomnet","ggnetwork"
150,91,2.33099999999831,7.07400000000052,2.06299999999828,4.32500000000073,2.90199999999822
150,92,2.29899999999907,7.63600000000224,2.07600000000093,3.56100000000151,2.92900000000009
150,93,2.27499999999782,5.32300000000032,2.06299999999828,4.3179999999993,2.89500000000044
150,94,2.32700000000114,7.59200000000055,2.04300000000148,4.37199999999939,2.96500000000015
150,95,2.28999999999724,4.85900000000038,2.03000000000247,4.27600000000166,2.86200000000099
150,96,2.37099999999919,7.26199999999881,2.0570000000007,4.2960000000021,2.94599999999991
150,97,4.06700000000274,7.33799999999974,2.07400000000052,4.25499999999738,2.93699999999808
150,98,2.22799999999916,7.00600000000122,2.10800000000017,4.31100000000151,2.94099999999889
150,99,2.34899999999834,7.31099999999788,2.06399999999849,4.31899999999951,2.94099999999889
150,100,2.25,7.04099999999744,2.05500000000029,4.27500000000146,2.89400000000023
