"network_size","iteration","igraph","network","ggnet2","geomnet","ggnetwork"
150,41,1.22899999999936,3.38100000000031,1.39099999999962,3.83500000000004,3.07900000000063
150,42,1.03799999999956,3.45200000000023,1.40200000000004,3.61099999999988,2.68100000000049
150,43,1.22800000000007,4.60100000000057,1.89900000000034,3.69800000000032,2.43299999999999
150,44,1.01200000000063,4.95600000000013,1.50400000000081,3.22999999999956,2.40700000000015
150,45,1.42700000000059,4.98899999999958,1.50699999999961,3.70700000000033,3.44300000000021
150,46,1.58099999999922,3.85699999999997,1.96099999999933,3.96700000000055,3.2489999999998
150,47,1.56099999999969,5.74600000000009,2.00700000000052,3.83200000000033,3.28699999999935
150,48,1.41699999999946,4.79799999999977,1.38999999999942,2.69000000000051,2.87899999999991
150,49,1.40800000000036,4.36099999999988,1.34699999999975,3.1880000000001,3.01300000000083
150,50,1.0029999999997,4.80099999999948,1.39199999999983,3.22800000000007,2.77900000000045
