"network_size","iteration","igraph","network","ggnet2","geomnet","ggnetwork"
125,11,0.375999999999976,1.02299999999991,0.404999999999973,0.753999999999905,0.667000000000144
125,12,0.36200000000008,0.945999999999913,0.399999999999864,0.772999999999911,0.658000000000129
125,13,0.366999999999962,0.890999999999849,0.394000000000005,0.768000000000029,0.663999999999987
125,14,0.367000000000189,0.886999999999944,0.379999999999882,0.76299999999992,0.658000000000129
125,15,0.394000000000005,0.944000000000187,0.397000000000162,0.771000000000186,0.673000000000002
125,16,0.389999999999873,0.975000000000136,0.398999999999887,0.776000000000067,0.664999999999964
125,17,0.387000000000171,0.925999999999931,0.401000000000067,0.764999999999873,0.656999999999925
125,18,0.391000000000076,0.909999999999854,0.399000000000115,0.777000000000044,0.673000000000002
125,19,0.369000000000142,0.537000000000035,0.400000000000091,0.771999999999935,0.672000000000025
125,20,0.371000000000095,0.929000000000087,0.391000000000076,0.751999999999953,0.662000000000035
