"setup","network_size","iteration","Visualization approach","time"
"AMD Opteron 6328",25,90,"igraph",0.0309999999999491
"AMD Opteron 6328",25,91,"igraph",0.0340000000014697
"AMD Opteron 6328",25,92,"igraph",0.032999999999447
"AMD Opteron 6328",25,93,"igraph",0.0380000000004657
"AMD Opteron 6328",25,94,"igraph",0.0339999999996508
"AMD Opteron 6328",25,95,"igraph",0.032999999999447
"AMD Opteron 6328",25,96,"igraph",0.0339999999996508
"AMD Opteron 6328",25,97,"igraph",0.0290000000004511
"AMD Opteron 6328",25,98,"igraph",0.0320000000010623
"AMD Opteron 6328",25,99,"igraph",0.0339999999996508
"AMD Opteron 6328",25,100,"igraph",0.0349999999998545
"AMD Opteron 6328",50,1,"igraph",0.166000000000054
"AMD Opteron 6328",50,2,"igraph",0.159999999999968
"AMD Opteron 6328",50,3,"igraph",0.158000000000015
"AMD Opteron 6328",50,4,"igraph",0.175000000000068
"AMD Opteron 6328",50,5,"igraph",0.159000000000106
"AMD Opteron 6328",50,6,"igraph",0.168000000000006
"AMD Opteron 6328",50,7,"igraph",0.166000000000054
"AMD Opteron 6328",50,8,"igraph",0.169999999999959
"AMD Opteron 6328",50,9,"igraph",0.168000000000006
"AMD Opteron 6328",50,10,"igraph",0.159999999999968
"AMD Opteron 6328",50,11,"igraph",0.172000000000025
"AMD Opteron 6328",50,12,"igraph",0.162000000000035
"AMD Opteron 6328",50,13,"igraph",0.167999999999893
"AMD Opteron 6328",50,14,"igraph",0.167999999999893
"AMD Opteron 6328",50,15,"igraph",0.164999999999964
"AMD Opteron 6328",50,16,"igraph",0.230000000000018
"AMD Opteron 6328",50,17,"igraph",0.167999999999893
"AMD Opteron 6328",50,18,"igraph",0.16599999999994
"AMD Opteron 6328",50,19,"igraph",0.103000000000065
"AMD Opteron 6328",50,20,"igraph",0.163999999999987
"AMD Opteron 6328",50,21,"igraph",0.0960000000000036
"AMD Opteron 6328",50,22,"igraph",0.0999999999999091
"AMD Opteron 6328",50,23,"igraph",0.0970000000002074
"AMD Opteron 6328",50,24,"igraph",0.0999999999999091
"AMD Opteron 6328",50,25,"igraph",0.0960000000000036
"AMD Opteron 6328",50,26,"igraph",0.0949999999997999
"AMD Opteron 6328",50,27,"igraph",0.0960000000000036
"AMD Opteron 6328",50,28,"igraph",0.0979999999999563
"AMD Opteron 6328",50,29,"igraph",0.100000000000364
"AMD Opteron 6328",50,30,"igraph",0.114999999999782
"AMD Opteron 6328",50,31,"igraph",0.104000000000269
"AMD Opteron 6328",50,32,"igraph",0.0960000000000036
"AMD Opteron 6328",50,33,"igraph",0.0980000000004111
"AMD Opteron 6328",50,34,"igraph",0.0920000000000982
"AMD Opteron 6328",50,35,"igraph",0.102999999999611
"AMD Opteron 6328",50,36,"igraph",0.0970000000002074
"AMD Opteron 6328",50,37,"igraph",0.0950000000002547
"AMD Opteron 6328",50,38,"igraph",0.102999999999611
"AMD Opteron 6328",50,39,"igraph",0.101000000000113
"AMD Opteron 6328",50,40,"igraph",0.101000000000113
"AMD Opteron 6328",50,41,"igraph",0.104999999999563
"AMD Opteron 6328",50,42,"igraph",0.100999999999658
"AMD Opteron 6328",50,43,"igraph",0.0990000000001601
"AMD Opteron 6328",50,44,"igraph",0.0949999999993452
"AMD Opteron 6328",50,45,"igraph",0.103000000000065
"AMD Opteron 6328",50,46,"igraph",0.100000000000364
"AMD Opteron 6328",50,47,"igraph",0.100000000000364
"AMD Opteron 6328",50,48,"igraph",0.0959999999995489
"AMD Opteron 6328",50,49,"igraph",0.102000000000771
"AMD Opteron 6328",50,50,"igraph",0.100999999999658
"AMD Opteron 6328",50,51,"igraph",0.104999999999563
"AMD Opteron 6328",50,52,"igraph",0.0990000000001601
"AMD Opteron 6328",50,53,"igraph",0.0950000000002547
"AMD Opteron 6328",50,54,"igraph",0.100999999999658
"AMD Opteron 6328",50,55,"igraph",0.100999999999658
"AMD Opteron 6328",50,56,"igraph",0.0929999999998472
"AMD Opteron 6328",50,57,"igraph",0.101999999999862
"AMD Opteron 6328",50,58,"igraph",0.128000000000611
"AMD Opteron 6328",50,59,"igraph",0.130000000000109
"AMD Opteron 6328",50,60,"igraph",0.102000000000771
"AMD Opteron 6328",50,61,"igraph",0.104000000000269
"AMD Opteron 6328",50,62,"igraph",0.100999999999658
"AMD Opteron 6328",50,63,"igraph",0.100999999999658
"AMD Opteron 6328",50,64,"igraph",0.0979999999999563
"AMD Opteron 6328",50,65,"igraph",0.106999999999971
"AMD Opteron 6328",50,66,"igraph",0.0979999999999563
"AMD Opteron 6328",50,67,"igraph",0.101999999999862
"AMD Opteron 6328",50,68,"igraph",0.103000000000065
"AMD Opteron 6328",50,69,"igraph",0.103000000000065
"AMD Opteron 6328",50,70,"igraph",0.0999999999994543
"AMD Opteron 6328",50,71,"igraph",0.0960000000004584
"AMD Opteron 6328",50,72,"igraph",0.100999999999658
"AMD Opteron 6328",50,73,"igraph",0.106000000000677
"AMD Opteron 6328",50,74,"igraph",0.0939999999991414
"AMD Opteron 6328",50,75,"igraph",0.104000000000269
"AMD Opteron 6328",50,76,"igraph",0.101999999999862
"AMD Opteron 6328",50,77,"igraph",0.106999999999971
"AMD Opteron 6328",50,78,"igraph",0.109000000000378
"AMD Opteron 6328",50,79,"igraph",0.100999999999658
"AMD Opteron 6328",50,80,"igraph",0.0969999999997526
"AMD Opteron 6328",50,81,"igraph",0.110999999999876
"AMD Opteron 6328",50,82,"igraph",0.108000000000175
"AMD Opteron 6328",50,83,"igraph",0.0990000000001601
"AMD Opteron 6328",50,84,"igraph",0.106000000000677
"AMD Opteron 6328",50,85,"igraph",0.0979999999999563
"AMD Opteron 6328",50,86,"igraph",0.101000000000568
"AMD Opteron 6328",50,87,"igraph",0.0979999999999563
"AMD Opteron 6328",50,88,"igraph",0.113000000000284
"AMD Opteron 6328",50,89,"igraph",0.0969999999997526
"AMD Opteron 6328",50,90,"igraph",0.0990000000001601
"AMD Opteron 6328",50,91,"igraph",0.0999999999985448
"AMD Opteron 6328",50,92,"igraph",0.105999999999767
"AMD Opteron 6328",50,93,"igraph",0.102000000000771
"AMD Opteron 6328",50,94,"igraph",0.108999999998559
"AMD Opteron 6328",50,95,"igraph",0.0990000000001601
"AMD Opteron 6328",50,96,"igraph",0.0990000000001601
"AMD Opteron 6328",50,97,"igraph",0.0990000000001601
"AMD Opteron 6328",50,98,"igraph",0.102000000000771
"AMD Opteron 6328",50,99,"igraph",0.0999999999985448
"AMD Opteron 6328",50,100,"igraph",0.0900000000001455
"AMD Opteron 6328",75,1,"igraph",0.222999999999956
"AMD Opteron 6328",75,2,"igraph",0.253999999999905
"AMD Opteron 6328",75,3,"igraph",0.262000000000057
"AMD Opteron 6328",75,4,"igraph",0.247000000000071
"AMD Opteron 6328",75,5,"igraph",0.264999999999986
"AMD Opteron 6328",75,6,"igraph",0.254000000000019
"AMD Opteron 6328",75,7,"igraph",0.259000000000015
"AMD Opteron 6328",75,8,"igraph",0.268000000000029
"AMD Opteron 6328",75,9,"igraph",0.256999999999948
"AMD Opteron 6328",75,10,"igraph",0.26400000000001
"AMD Opteron 6328",75,11,"igraph",0.2650000000001
"AMD Opteron 6328",75,12,"igraph",0.263999999999896
"AMD Opteron 6328",75,13,"igraph",0.263000000000147
"AMD Opteron 6328",75,14,"igraph",0.223000000000184
"AMD Opteron 6328",75,15,"igraph",0.261999999999944
"AMD Opteron 6328",75,16,"igraph",0.259999999999991
"AMD Opteron 6328",75,17,"igraph",0.271999999999935
"AMD Opteron 6328",75,18,"igraph",0.244999999999891
"AMD Opteron 6328",75,19,"igraph",0.264000000000124
"AMD Opteron 6328",75,20,"igraph",0.259999999999991
"AMD Opteron 6328",75,21,"igraph",0.284999999999854
"AMD Opteron 6328",75,22,"igraph",0.215000000000146
"AMD Opteron 6328",75,23,"igraph",0.2199999999998
"AMD Opteron 6328",75,24,"igraph",0.20699999999988
"AMD Opteron 6328",75,25,"igraph",0.219000000000051
"AMD Opteron 6328",75,26,"igraph",0.213000000000193
"AMD Opteron 6328",75,27,"igraph",0.210999999999785
"AMD Opteron 6328",75,28,"igraph",0.219000000000051
"AMD Opteron 6328",75,29,"igraph",0.215000000000146
"AMD Opteron 6328",75,30,"igraph",0.221000000000004
"AMD Opteron 6328",75,31,"igraph",0.215999999999894
"AMD Opteron 6328",75,32,"igraph",0.208999999999833
"AMD Opteron 6328",75,33,"igraph",0.213000000000193
"AMD Opteron 6328",75,34,"igraph",0.208000000000084
"AMD Opteron 6328",75,35,"igraph",0.215999999999894
"AMD Opteron 6328",75,36,"igraph",0.2199999999998
"AMD Opteron 6328",75,37,"igraph",0.212999999999738
"AMD Opteron 6328",75,38,"igraph",0.220000000000255
"AMD Opteron 6328",75,39,"igraph",0.214000000000397
"AMD Opteron 6328",75,40,"igraph",0.206000000000131
"AMD Opteron 6328",75,41,"igraph",0.24199999999928
"AMD Opteron 6328",75,42,"igraph",0.218000000000757
"AMD Opteron 6328",75,43,"igraph",0.213999999999942
"AMD Opteron 6328",75,44,"igraph",0.21100000000024
"AMD Opteron 6328",75,45,"igraph",0.226000000000568
"AMD Opteron 6328",75,46,"igraph",0.225000000000364
"AMD Opteron 6328",75,47,"igraph",0.207000000000335
"AMD Opteron 6328",75,48,"igraph",0.222999999999956
"AMD Opteron 6328",75,49,"igraph",0.230000000000473
"AMD Opteron 6328",75,50,"igraph",0.216000000000349
"AMD Opteron 6328",75,51,"igraph",0.220000000000255
"AMD Opteron 6328",75,52,"igraph",0.210000000000036
"AMD Opteron 6328",75,53,"igraph",0.21100000000024
"AMD Opteron 6328",75,54,"igraph",0.224999999999454
"AMD Opteron 6328",75,55,"igraph",0.214999999999236
"AMD Opteron 6328",75,56,"igraph",0.216000000000349
"AMD Opteron 6328",75,57,"igraph",0.22400000000016
"AMD Opteron 6328",75,58,"igraph",0.221000000000458
"AMD Opteron 6328",75,59,"igraph",0.215000000000146
"AMD Opteron 6328",75,60,"igraph",0.222999999999956
"AMD Opteron 6328",75,61,"igraph",0.225999999999658
"AMD Opteron 6328",75,62,"igraph",0.230000000000473
"AMD Opteron 6328",75,63,"igraph",0.209999999999127
"AMD Opteron 6328",75,64,"igraph",0.230000000000473
"AMD Opteron 6328",75,65,"igraph",0.217999999999847
"AMD Opteron 6328",75,66,"igraph",0.225000000000364
"AMD Opteron 6328",75,67,"igraph",0.224999999999454
"AMD Opteron 6328",75,68,"igraph",0.210000000000036
"AMD Opteron 6328",75,69,"igraph",0.228000000000065
"AMD Opteron 6328",75,70,"igraph",0.213999999999942
"AMD Opteron 6328",75,71,"igraph",0.221000000000458
"AMD Opteron 6328",75,72,"igraph",0.210000000000036
"AMD Opteron 6328",75,73,"igraph",0.237999999999374
"AMD Opteron 6328",75,74,"igraph",0.221000000000458
"AMD Opteron 6328",75,75,"igraph",0.208999999999833
"AMD Opteron 6328",75,76,"igraph",0.237999999999374
"AMD Opteron 6328",75,77,"igraph",0.221999999999753
"AMD Opteron 6328",75,78,"igraph",0.221999999999753
"AMD Opteron 6328",75,79,"igraph",0.219000000000051
"AMD Opteron 6328",75,80,"igraph",0.22400000000016
"AMD Opteron 6328",75,81,"igraph",0.240000000000691
"AMD Opteron 6328",75,82,"igraph",0.204000000000633
"AMD Opteron 6328",75,83,"igraph",0.228000000000065
"AMD Opteron 6328",75,84,"igraph",0.224999999999454
"AMD Opteron 6328",75,85,"igraph",0.215000000000146
"AMD Opteron 6328",75,86,"igraph",0.208999999999833
"AMD Opteron 6328",75,87,"igraph",0.231999999999971
"AMD Opteron 6328",75,88,"igraph",0.221000000000458
"AMD Opteron 6328",75,89,"igraph",0.206999999999425
"AMD Opteron 6328",75,90,"igraph",0.230999999999767
"AMD Opteron 6328",75,91,"igraph",0.217000000000553
"AMD Opteron 6328",75,92,"igraph",0.215000000000146
"AMD Opteron 6328",75,93,"igraph",0.240999999999985
"AMD Opteron 6328",75,94,"igraph",0.216999999998734
"AMD Opteron 6328",75,95,"igraph",0.240999999999985
"AMD Opteron 6328",75,96,"igraph",0.222000000001572
"AMD Opteron 6328",75,97,"igraph",0.221999999999753
"AMD Opteron 6328",75,98,"igraph",0.218000000000757
"AMD Opteron 6328",75,99,"igraph",0.212000000001353
"AMD Opteron 6328",75,100,"igraph",0.236999999999171
