"network_size","iteration","igraph","network","ggnet2","geomnet","ggnetwork"
100,61,1.29399999999987,2.82300000000032,0.615999999999985,1.32900000000154,0.727000000000771
100,62,1.17599999999948,2.66100000000006,0.59400000000096,1.29399999999987,0.634000000000015
100,63,1.06800000000112,2.04800000000068,0.430000000000291,0.917999999999665,0.468000000000757
100,64,0.822000000000116,2.0630000000001,0.483000000000175,0.95299999999952,0.494000000000597
100,65,0.786000000000058,2.08899999999994,0.441999999999098,1.03099999999904,0.587999999999738
100,66,0.984000000000378,2.15400000000045,0.454000000001543,0.984000000000378,0.476999999998952
100,67,0.808999999999287,2.03700000000026,0.44300000000112,0.967000000000553,0.468999999999141
100,68,0.774000000001251,2.10400000000118,0.529999999998836,1.15600000000086,0.654000000000451
100,69,1.11399999999958,2.46900000000096,0.558000000000902,1.18499999999949,0.621000000001004
100,70,1.03800000000047,2.40900000000147,0.481999999999971,1.12700000000041,0.496000000001004
