"network_size","iteration","igraph","network","ggnet2","geomnet","ggnetwork"
175,31,1.01500000000033,4.52599999999984,1.01600000000008,2.35600000000022,1.47200000000021
175,32,1.02099999999973,4.06999999999971,0.974999999999909,2.10200000000032,1.404
175,33,1.05999999999995,4.50599999999986,1.03999999999996,2.67300000000023,1.48299999999972
175,34,1.04199999999992,4.68499999999995,1.01000000000022,2.23799999999983,1.38699999999972
175,35,0.927000000000135,4.0319999999997,0.942000000000007,2.22599999999966,1.63599999999997
175,36,1.13999999999987,4.81100000000015,1.07199999999966,2.48399999999992,1.50799999999981
175,37,1.17500000000018,4.66799999999967,1.06500000000005,2.48299999999972,1.45399999999972
175,38,1.07300000000032,4.64899999999989,1.04100000000017,2.59999999999991,1.54599999999982
175,39,1.05699999999979,4.25399999999991,1.00900000000001,2.98099999999977,1.86799999999994
175,40,1.17999999999984,4.97299999999996,1.11400000000003,2.38900000000012,1.52199999999993
