"network_size","iteration","igraph","network","ggnet2","geomnet","ggnetwork"
175,21,1.14999999999964,4.26200000000017,1.39599999999973,2.37699999999995,2.1869999999999
175,22,1.17200000000003,4.20299999999997,1.35599999999977,2.35100000000011,2.17100000000028
175,23,1.13000000000011,4.10100000000011,1.02700000000004,2.42699999999968,2.21099999999979
175,24,1.15000000000009,4.22000000000025,1.40499999999975,2.46000000000004,2.16600000000017
175,25,1.17599999999993,4.31899999999996,1.40700000000015,2.56400000000031,2.23300000000017
175,26,1.16000000000031,4.375,1.39199999999983,2.4409999999998,2.24400000000014
175,27,1.20600000000013,3.20700000000033,1.41499999999996,2.41699999999992,2.14600000000019
175,28,1.12100000000009,4.38999999999987,1.42800000000034,2.36599999999999,2.11999999999989
175,29,1.13400000000001,3.14100000000008,1.45299999999997,2.39400000000023,2.125
175,30,1.125,4.17399999999998,1.38799999999992,2.41600000000017,2.16300000000001
