"network_size","iteration","igraph","network","ggnet2","geomnet","ggnetwork"
225,81,1.43099999999959,5.74199999999928,1.75500000000011,3.54899999999998,2.69999999999982
225,82,1.42000000000007,6.03399999999965,1.72099999999955,3.56900000000041,2.69900000000052
225,83,1.50399999999991,5.59500000000025,1.79799999999977,3.55799999999999,2.69599999999991
225,84,1.45200000000023,3.84400000000005,1.73499999999967,3.63100000000031,2.79100000000017
225,85,1.41700000000037,5.52300000000014,1.76900000000023,3.65200000000004,2.82200000000012
225,86,1.4380000000001,5.4380000000001,1.77000000000044,2.76100000000042,2.7529999999997
225,87,1.47500000000036,4.02800000000025,1.72999999999956,2.72399999999925,2.65099999999984
225,88,1.46699999999964,5.4380000000001,1.74600000000009,3.63799999999992,2.73199999999997
225,89,1.44399999999951,5.61599999999999,1.73700000000008,3.5659999999998,2.6880000000001
225,90,1.45699999999943,5.62899999999991,1.75500000000011,2.77800000000025,2.76599999999962
