"network_size","iteration","igraph","network","ggnet2","geomnet","ggnetwork"
175,31,1.17499999999927,5.91699999999946,1.48299999999927,2.40899999999965,2.3739999999998
175,32,1.10699999999997,5.32999999999993,1.41399999999976,3.01699999999983,2.3720000000003
175,33,1.14199999999983,5.60699999999997,1.4980000000005,3.08100000000013,2.40899999999965
175,34,1.10599999999977,5.50200000000041,1.47099999999955,2.91800000000057,2.23799999999937
175,35,1.09100000000035,5.88200000000052,1.55400000000009,3.57499999999982,2.76400000000012
175,36,1.25200000000041,6.33200000000033,1.65700000000015,3.38100000000031,2.51000000000022
175,37,1.18100000000049,5.70299999999952,1.45700000000033,2.95700000000033,2.27300000000014
175,38,1.10599999999977,5.46299999999974,1.46299999999974,3.08500000000004,2.38799999999992
175,39,1.11999999999989,5.66499999999996,1.48199999999997,3.03499999999985,2.34499999999935
175,40,1.09900000000016,5.19899999999961,1.47200000000066,3.15100000000075,2.73700000000008
