"network_size","iteration","igraph","network","ggnet2","geomnet","ggnetwork"
150,21,0.677999999999884,3.06199999999808,1.25600000000122,2.28800000000047,2.49099999999453
150,22,0.67099999999482,2.80500000000029,1.25799999999435,2.22000000000116,2.46699999999691
150,23,0.660000000003492,2.75400000000081,1.24499999999534,2.31599999999889,2.5
150,24,0.705999999998312,2.77100000000064,1.18300000000454,2.16399999999703,2.42799999999988
150,25,0.671000000002095,2.74600000000646,1.22000000000116,2.16799999999785,2.41599999999744
150,26,0.780999999995402,2.76000000000204,1.25800000000163,2.26299999999901,2.49700000000303
150,27,0.644000000000233,2.65499999999884,1.23099999999977,2.18600000000151,2.3640000000014
150,28,0.656000000002678,2.68699999999808,1.22899999999936,2.23999999999796,2.44199999999546
150,29,0.663999999997031,2.71899999999732,1.19499999999971,2.14599999999336,2.41900000000169
150,30,0.647000000004482,2.75300000000425,1.22899999999936,2.166999999994,2.43799999999464
