"iteration","igraph","network","ggnet2","geomnet","ggnetwork"
50,0.90300000000002,2.31700000000001,1.27999999999997,0.468999999999994,0.396000000000015
51,0.894000000000005,2.31,1.29499999999996,0.477000000000032,0.39100000000002
52,0.906999999999982,2.29399999999998,1.34699999999998,0.472000000000037,0.377999999999986
53,0.906000000000006,2.27999999999997,1.298,0.476999999999975,0.391999999999996
54,0.919999999999959,2.30599999999998,1.27199999999999,0.474999999999966,0.38900000000001
55,0.894000000000005,2.31400000000002,1.34900000000005,0.516999999999996,0.382000000000005
56,0.90300000000002,2.29699999999997,1.36600000000004,0.50200000000001,0.439000000000021
57,0.908000000000015,2.30200000000002,1.28500000000003,0.47399999999999,0.38900000000001
58,0.886000000000024,2.30799999999999,1.339,0.480000000000018,0.394999999999982
59,0.949999999999989,2.33300000000003,1.291,0.483000000000004,0.404999999999973
60,0.911000000000001,2.33499999999998,1.27199999999999,0.485000000000014,0.395999999999958
61,0.90100000000001,2.30500000000001,1.35500000000002,0.488,0.401999999999987
62,0.923999999999978,2.34399999999999,1.30700000000002,0.466999999999985,0.399999999999977
63,0.925999999999988,2.30899999999997,1.31300000000005,0.479999999999961,0.394999999999982
64,0.927000000000021,2.34499999999997,1.35599999999999,0.482000000000028,0.388000000000034
65,0.909999999999968,2.34899999999999,1.298,0.489000000000033,0.387
66,0.911000000000001,2.31099999999998,1.27699999999999,0.48399999999998,0.395999999999958
67,0.901999999999987,2.32599999999996,1.37099999999998,0.478999999999985,0.391999999999996
68,0.920000000000016,2.31600000000003,1.30799999999999,0.479999999999961,0.394000000000005
69,0.921999999999969,2.327,1.30500000000001,0.475999999999999,0.391999999999996
70,0.920999999999992,2.31099999999998,1.36199999999997,0.490999999999985,0.396000000000015
71,0.902999999999963,2.31399999999996,1.27599999999995,0.475000000000023,0.396000000000015
72,0.90500000000003,2.29699999999997,1.29300000000001,0.478999999999985,0.40300000000002
73,0.911999999999978,2.30200000000002,1.375,0.483000000000004,0.384999999999991
74,0.913999999999987,2.33999999999997,1.29399999999998,0.474999999999966,0.397999999999968
75,0.91500000000002,2.30900000000003,1.30599999999998,0.485000000000014,0.392999999999972
76,0.913000000000011,2.31299999999999,1.35399999999998,0.480999999999995,0.400000000000034
77,0.923000000000002,2.32999999999998,1.31799999999998,0.474999999999966,0.401999999999987
78,0.920999999999992,2.30799999999999,1.291,0.476999999999975,0.400000000000034
79,0.902999999999963,2.32799999999997,1.34199999999998,0.46999999999997,0.387
80,0.923999999999978,2.327,1.31400000000002,0.472999999999956,0.395000000000039
81,0.919999999999959,2.30900000000003,1.30799999999999,0.483000000000004,0.394999999999982
82,0.975000000000023,2.32400000000001,1.36600000000004,0.475999999999999,0.388999999999953
83,0.927999999999997,2.33499999999998,1.31,0.479999999999961,0.40100000000001
84,0.908000000000015,2.31200000000001,1.30700000000002,0.488,0.40300000000002
85,0.901999999999987,2.32399999999996,1.31900000000002,0.476999999999975,0.392999999999972
86,0.916999999999973,2.31200000000001,1.33600000000001,0.473999999999933,0.389999999999986
87,0.915000000000077,2.33899999999994,1.31299999999999,0.48599999999999,0.394999999999982
88,0.908999999999992,2.31600000000003,1.35799999999995,0.480000000000018,0.394999999999982
89,0.913999999999987,2.30500000000006,1.30000000000007,0.470000000000027,0.407999999999902
90,0.923999999999978,2.30999999999995,1.28800000000001,0.516000000000076,0.394000000000005
91,0.903999999999996,2.31900000000007,1.39600000000007,0.531000000000063,0.436000000000035
92,0.930000000000064,2.33199999999999,1.29600000000005,0.482999999999947,0.40300000000002
93,0.916999999999916,2.31299999999999,1.28200000000004,0.480000000000018,0.406000000000063
94,0.908999999999992,2.31299999999999,1.34800000000007,0.478999999999928,0.394999999999982
95,0.908999999999992,2.37100000000009,1.31600000000003,0.482000000000085,0.389999999999986
96,0.91599999999994,2.29000000000008,1.28399999999999,0.490000000000009,0.403999999999996
97,0.912000000000035,2.3309999999999,1.33199999999999,0.475000000000023,0.390999999999963
98,0.907000000000039,2.33199999999999,1.327,0.482999999999947,0.399000000000001
99,0.911000000000058,2.29899999999998,1.31399999999996,0.480999999999995,0.394000000000005
100,0.904999999999973,2.33100000000002,1.35699999999997,0.490999999999985,0.392000000000053
