"iteration","igraph","network","ggnet2","geomnet","ggnetwork"
1,1.102,2.832,1.921,0.652,0.467000000000001
2,0.981999999999999,2.487,1.633,0.586,0.414000000000001
3,0.929999999999998,2.859,1.536,0.549999999999997,0.411999999999999
4,0.962,2.76,1.345,0.504999999999999,0.411999999999999
5,1.038,2.455,1.423,0.501000000000005,0.408999999999999
6,0.940999999999995,2.516,1.39100000000001,0.512999999999998,0.586999999999996
7,1.195,2.814,1.457,0.580999999999996,0.425000000000004
8,0.957999999999998,2.53400000000001,1.396,0.530999999999999,0.412000000000006
9,0.989000000000004,2.444,1.378,0.499000000000002,0.415999999999997
10,0.954000000000001,2.468,1.428,0.503,0.414000000000001
11,0.942000000000007,2.447,1.36199999999999,0.493000000000009,0.414000000000001
12,0.943999999999988,2.53100000000001,1.416,0.480000000000004,0.397999999999996
13,0.98299999999999,2.395,1.461,0.570000000000007,0.671000000000006
14,1.38799999999999,3.35899999999999,1.331,0.689000000000007,0.415000000000006
15,0.981999999999999,2.64099999999999,1.49600000000001,0.478000000000009,0.399000000000001
16,0.917000000000002,2.74300000000001,1.55500000000001,0.570999999999998,0.481000000000009
17,0.927999999999997,2.676,1.47199999999999,0.501999999999995,0.393000000000001
18,0.907000000000011,2.35599999999999,1.33900000000001,0.499000000000009,0.399999999999991
19,0.974000000000004,2.33200000000001,1.343,0.491,0.39200000000001
20,0.923000000000002,2.54899999999999,1.36099999999999,0.50200000000001,0.445000000000022
21,1,2.53099999999998,1.36200000000002,0.50800000000001,0.457000000000022
22,1.10500000000002,2.464,1.40600000000001,0.513999999999982,0.411000000000001
23,0.955000000000013,2.47799999999998,1.351,0.501000000000005,0.41500000000002
24,0.980999999999995,2.41999999999999,1.364,0.50800000000001,0.48599999999999
25,0.990000000000009,2.50700000000001,1.393,0.510999999999996,0.412000000000006
26,1.00099999999998,2.45600000000002,1.37800000000001,0.50800000000001,0.414999999999992
27,0.957999999999998,2.54399999999998,1.45299999999997,0.509999999999991,0.423000000000002
28,0.957000000000022,2.53,1.42099999999999,0.586999999999989,0.603000000000009
29,0.994,2.47,1.28800000000001,0.492999999999995,0.39100000000002
30,0.911000000000001,2.31300000000002,1.30099999999999,0.469999999999999,0.393000000000001
31,0.878999999999991,2.29599999999999,1.36799999999999,0.472000000000008,0.387
32,0.907999999999987,2.37899999999999,1.33099999999999,0.474999999999994,0.399000000000001
33,0.929000000000002,2.31,1.32499999999999,0.581999999999994,0.656000000000006
34,1.09999999999999,2.99099999999999,1.428,0.496000000000009,0.387
35,0.941000000000003,2.31800000000001,1.29000000000002,0.474999999999994,0.40100000000001
36,0.923000000000002,2.298,1.30500000000001,0.477000000000004,0.394999999999982
37,0.894000000000005,2.28900000000002,1.35799999999998,0.467000000000013,0.398999999999972
38,0.914999999999992,2.352,1.27399999999997,0.471000000000004,0.384000000000015
39,0.917999999999978,2.28900000000002,1.32300000000001,0.637,0.5
40,1.04600000000002,2.81800000000001,1.33699999999999,0.468000000000018,0.388999999999982
41,0.918000000000006,2.30900000000003,1.30500000000001,0.474999999999994,0.39100000000002
42,0.908000000000015,2.34300000000002,1.27800000000002,0.482000000000028,0.390999999999963
43,0.902999999999963,2.30500000000001,1.34000000000003,0.477000000000032,0.399000000000001
44,0.896000000000015,2.29599999999999,1.303,0.478000000000009,0.390999999999963
45,0.897999999999968,2.31899999999996,1.25999999999999,0.473000000000013,0.388999999999953
46,0.897000000000048,2.31400000000002,1.35599999999999,0.482000000000028,0.387
47,0.951999999999998,2.32499999999999,1.30000000000001,0.479999999999961,0.394000000000005
48,0.908000000000015,2.27100000000002,1.29499999999996,0.472000000000037,0.394000000000005
49,0.921999999999969,2.303,1.358,0.468000000000018,0.388000000000034
