"network_size","iteration","igraph","network","ggnet2","geomnet","ggnetwork"
250,51,2.57999999999993,14.336,1.11000000000001,4.39800000000002,1.1640000000001
250,52,2.48400000000004,13.4259999999999,1.178,4.05799999999999,1.19900000000007
250,53,2.71199999999999,14.0260000000001,1.1160000000001,3.846,1.26200000000006
250,54,2.44600000000003,12.885,1.10799999999995,3.87900000000002,1.14499999999998
250,55,2.34699999999998,13.258,1.1049999999999,4.29399999999998,1.13999999999999
250,56,2.49799999999993,12.399,1.15800000000002,3.77300000000002,1.154
250,57,2.50299999999993,12.749,1.35399999999993,4.27099999999996,1.19800000000009
250,58,2.44799999999998,13.316,1.10799999999995,3.97900000000004,1.154
250,59,2.29499999999996,12.5070000000001,1.13100000000009,4.55099999999993,1.25300000000004
250,60,2.56499999999994,13.7339999999999,1.37699999999995,4.05899999999997,1.35200000000009
