"network_size","iteration","igraph","network","ggnet2","geomnet","ggnetwork"
75,81,0.165000000000873,0.570999999999913,0.44800000000032,0.678000000000793,0.748000000000502
75,82,0.159999999999854,0.539000000000669,0.283000000000357,0.655999999999949,0.73700000000008
75,83,0.157000000000153,0.532000000000153,0.423999999999978,0.646999999999935,0.715000000000146
75,84,0.166000000000167,0.543000000000575,0.438000000000102,0.649999999999636,0.719000000000051
75,85,0.164999999999964,0.556000000000495,0.422999999999774,0.65099999999984,0.734999999999673
75,86,0.156999999999243,0.550000000000182,0.441000000000713,0.680000000000291,0.731999999999971
75,87,0.163000000000466,0.560999999999694,0.431000000000495,0.675999999999476,0.736999999999171
75,88,0.168999999999869,0.559999999999491,0.431000000000495,0.677999999999884,0.731999999999971
75,89,0.159999999999854,0.541000000000167,0.4399999999996,0.692000000000007,0.74199999999928
75,90,0.160999999999149,0.555999999999585,0.443000000000211,0.675999999999476,0.740999999999985
