"network_size","iteration","igraph","network","ggnet2","geomnet","ggnetwork"
50,11,0.204000000000178,0.544000000000324,0.519999999999982,0.66800000000012,0.747999999999593
50,12,0.204000000000178,0.584000000000287,0.531999999999698,0.688000000000102,0.736000000000331
50,13,0.211999999999989,0.579999999999927,0.543999999999869,0.679999999999836,0.756000000000313
50,14,0.216000000000349,0.575999999999567,0.544000000000324,0.700000000000273,0.751999999999953
50,15,0.199999999999818,0.55600000000004,0.543999999999869,0.66800000000012,0.731999999999971
50,16,0.203999999999724,0.548000000000229,0.527999999999793,0.672000000000025,0.756000000000313
50,17,0.196000000000367,0.555999999999585,0.528000000000247,0.676000000000386,0.739999999999782
50,18,0.183999999999742,0.543999999999869,0.512000000000171,0.684000000000196,0.728000000000065
50,19,0.204000000000178,0.572000000000116,0.536000000000058,0.679999999999836,0.736000000000331
50,20,0.215999999999894,0.579999999999927,0.548000000000229,0.708000000000084,0.771999999999935
