"network_size","iteration","igraph","network","ggnet2","geomnet","ggnetwork"
75,31,0.181000000004133,0.636000000005879,0.618000000002212,0.794000000001688,1.01699999999983
75,32,0.186000000001513,0.648000000001048,0.599000000001979,1.00599999999395,1.03800000000047
75,33,0.184999999997672,0.625,0.582999999998719,0.98700000000099,1.01900000000023
75,34,0.181000000004133,0.620999999999185,0.56699999999546,0.98399999999674,1.02599999999802
75,35,0.190999999998894,0.640999999995984,0.599999999998545,1.03399999999965,1.06499999999505
75,36,0.158999999999651,0.611999999993714,0.569999999999709,1.00100000000384,1.02500000000146
75,37,0.167999999997846,0.619999999995343,0.569999999999709,1.01399999999558,1.02300000000105
75,38,0.172999999995227,0.614000000001397,0.572000000000116,1.01499999999942,1.01199999999517
75,39,0.176999999996042,0.618999999998778,0.585999999995693,1.02400000000489,1.02199999999721
75,40,0.171999999998661,0.631999999997788,0.569000000003143,0.936999999998079,1.01600000000326
