"network_size","iteration","igraph","network","ggnet2","geomnet","ggnetwork"
25,31,0.0239999999998872,0.056999999999789,0.140000000000327,0.231999999999971,0.425999999999931
25,32,0.0219999999999345,0.0589999999997417,0.141999999999825,0.223000000000411,0.418999999999869
25,33,0.0209999999997308,0.056999999999789,0.13799999999992,0.233000000000175,0.429000000000087
25,34,0.0210000000001855,0.0579999999999927,0.144000000000233,0.229000000000269,0.432000000000244
25,35,0.0190000000002328,0.0530000000003383,0.138999999999669,0.236000000000331,0.422000000000025
25,36,0.0239999999998872,0.05600000000004,0.145999999999731,0.228000000000065,0.427999999999884
25,37,0.0209999999997308,0.0610000000001492,0.138999999999669,0.228000000000065,0.420000000000073
25,38,0.0210000000001855,0.056999999999789,0.13799999999992,0.226999999999862,0.432999999999993
25,39,0.0209999999997308,0.05600000000004,0.135000000000218,0.23700000000008,0.422000000000025
25,40,0.0209999999997308,0.05600000000004,0.141999999999825,0.228999999999814,0.423999999999978
