"network_size","iteration","igraph","network","ggnet2","geomnet","ggnetwork"
200,11,1.50500000000011,5.90200000000004,1.72900000000004,3.22399999999993,2.68000000000006
200,12,1.625,6.07999999999993,1.70700000000011,3.14699999999993,2.77800000000002
200,13,1.47899999999981,5.78499999999985,1.76900000000001,3.12300000000005,2.66999999999985
200,14,1.47699999999986,5.72199999999998,1.77199999999993,3.07799999999997,2.67200000000003
200,15,1.45900000000006,5.66700000000014,1.75199999999995,2.62599999999998,2.71799999999985
200,16,1.46800000000007,5.74799999999982,1.72399999999993,3.01499999999987,2.70500000000015
200,17,1.4849999999999,5.70999999999981,1.75099999999998,3.06500000000005,2.74700000000007
200,18,1.45800000000008,3.97199999999998,1.72300000000018,3.04299999999989,2.66599999999994
200,19,1.51999999999998,6.46199999999999,1.73299999999995,3.10500000000002,2.69799999999987
200,20,1.45800000000008,5.91300000000001,1.75999999999999,3.11699999999996,2.71899999999982
