"network_size","iteration","igraph","network","ggnet2","geomnet","ggnetwork"
200,11,4.49499999999989,17.6869999999999,3.32399999999961,7.91800000000012,4.83300000000008
200,12,4.42399999999998,17.3910000000001,3.48199999999997,8.20499999999993,4.78500000000031
200,13,4.75300000000016,17.2809999999999,3.23900000000003,7.72299999999996,4.78200000000015
200,14,4.21599999999989,17.6990000000001,3.28899999999976,7.73000000000002,4.9970000000003
200,15,4.55499999999984,18.1199999999999,3.33200000000033,7.82600000000002,4.86499999999978
200,16,4.31700000000001,17.587,3.27199999999993,7.79599999999982,4.91700000000037
200,17,4.53400000000011,18.1279999999997,3.28900000000021,7.84100000000035,4.88500000000022
200,18,4.93100000000004,13.3580000000002,3.38699999999972,7.9380000000001,5.15999999999985
200,19,4.596,13.4610000000002,3.61099999999988,8.33100000000013,5.17500000000018
200,20,4.50799999999981,18.2160000000003,3.34000000000015,7.99800000000005,4.85699999999997
