"network_size","iteration","igraph","network","ggnet2","geomnet","ggnetwork"
150,1,0.913999999999987,3.10000000000002,1.11399999999992,1.83399999999995,1.64699999999993
150,2,0.842999999999961,2.98000000000002,1.09800000000007,1.798,1.673
150,3,0.844000000000051,2.87900000000002,1.11200000000008,1.80500000000006,1.6880000000001
150,4,0.855999999999995,2.93400000000008,0.835000000000036,1.81600000000003,1.65199999999993
150,5,0.838999999999942,2.98199999999997,1.12600000000009,1.81499999999994,1.70600000000002
150,6,0.852000000000089,2.84100000000001,1.12599999999998,1.79599999999994,1.68899999999996
150,7,0.885999999999967,3.04899999999998,1.13999999999999,1.86500000000001,1.67500000000007
150,8,0.836999999999989,2.77200000000005,1.08399999999995,1.80399999999997,1.70900000000006
150,9,0.847000000000094,2.85400000000004,1.12400000000002,1.84399999999994,1.68299999999999
150,10,0.865999999999985,2.89600000000007,1.14400000000001,1.84699999999998,1.70699999999999
